基金代码,基金简称,基金类型,资产规模(亿),基金管理人,基金净值,基金经理(最近连续最长任职),基金经理的上任时间,近三年标准差,近三年夏普,近三年涨幅,近五年涨幅
009725,东方红优质甄选一年持有混合A,混合型-偏债,3.94,东方红资产管理,1.0200,王佳骏,2020-07-23,2.23%,0.13,5.45%,None
008206,国泰聚瑞纯债债券A,债券型-长债,4.97,国泰基金,1.0200,魏伟,2023-03-27,0.70%,4.49,14.63%,None
011281,华宝双债增强债券C,债券型-混合二级,0.10,华宝基金,1.0200,李栋梁,2021-04-23,4.83%,-0.23,1.22%,None
018716,工银瑞宁3个月定开债券A,债券型-长债,0.51,工银瑞信基金,1.0200,姚璐伟,2023-09-26,None,None,None,None
019365,汇添富中证国新央企股东回报ETF联接A,指数型-股票,4.45,汇添富基金,1.0200,晏阳,2024-02-02,None,None,None,None
003651,博时丰达纯债6个月定开债,债券型-长债,20.03,博时基金,1.0199,唐薇,2024-04-09,0.90%,2.20,10.80%,18.23%
005410,汇添富鑫盛定开债A,债券型-长债,15.06,汇添富基金,1.0199,李伟,2023-02-20,0.66%,2.82,10.41%,18.75%
007171,易方达中债3-5年国开行债A,指数型-固收,10.63,易方达基金,1.0199,杨真,2020-11-28,1.19%,2.29,13.21%,None
011768,泰康合润混合C,混合型-偏债,0.31,泰康基金,1.0199,蒋利娟,2021-04-07,4.00%,-0.21,2.00%,None
018697,尚正臻元债券,债券型-长债,10.23,尚正基金,1.0199,段吉华,2023-09-15,None,None,None,None
012633,天治鑫祥利率债债券C,债券型-长债,0.00,天治基金,1.0199,郝杰,2023-07-10,None,None,None,None
002466,博时裕新纯债,债券型-长债,35.13,博时基金,1.0198,郭思洁,2020-07-20,0.79%,2.30,10.26%,17.70%
012254,鹏扬景润一年持有混合C,混合型-偏债,0.17,鹏扬基金,1.0198,李人望,2023-08-28,None,None,None,None
012732,融通通跃一年定开债发起式,债券型-长债,20.42,融通基金,1.0198,刘舒乐,2023-07-12,None,None,None,None
013272,国泰君安1年定开债券发起式,债券型-长债,27.55,上海国泰君安资管,1.0198,朱莹,2022-02-14,None,None,None,None
014810,华安沣瑞一年持有混合C,混合型-偏债,0.21,华安基金,1.0198,吴文明,2022-01-25,None,None,None,None
008431,人保利丰纯债C,债券型-长债,0.01,人保资产,1.0198,程同朦,2024-01-05,None,None,None,None
020253,银河中债0-3年政金债指数C,指数型-固收,4.28,银河基金,1.0198,张沛,2023-12-27,None,None,None,None
020133,东方红60天持有纯债A,债券型-长债,0.02,东方红资产管理,1.0198,李燕,2023-12-12,None,None,None,None
019380,景顺长城景盛双益债券A,债券型-混合二级,0.91,景顺长城基金,1.0198,邹立虎,2023-12-26,None,None,None,None
016538,国泰聚瑞纯债债券C,债券型-长债,None,国泰基金,1.0198,魏伟,2024-04-10,None,None,None,None
007312,方正富邦添利纯债C,债券型-长债,0.06,方正富邦基金,1.0197,牛伟松,2024-06-11,0.56%,5.11,13.58%,None
008896,兴业鼎泰一年定开债券发起式,债券型-长债,48.85,兴业基金,1.0197,倪侃,2022-10-19,None,None,9.52%,None
014076,华商鸿源三个月定开纯债债券,债券型-长债,61.53,华商基金,1.0197,胡中原,2022-03-28,None,None,None,None
015212,招商安鼎平衡1年持有期混合C,混合型-平衡,0.47,招商基金,1.0197,王刚,2022-03-21,None,None,None,None
015109,中泰安益利率债C,债券型-长债,0.00,中泰证券(上海)资管,1.0197,蔡凤仪,2022-04-26,None,None,None,None
017441,英大安旸纯债债券C,债券型-长债,0.00,英大基金,1.0197,吕一楠,2022-12-28,None,None,None,None
017576,华夏稳兴增益一年持有混合C,混合型-偏债,0.13,华夏基金,1.0197,宋洋,2023-07-05,None,None,None,None
008648,嘉实致业一年定期纯债债券,债券型-长债,10.13,嘉实基金,1.0196,王立芹,2020-12-24,0.88%,2.76,12.28%,None
011227,西部利得聚盈一年定开债C,债券型-混合二级,0.10,西部利得基金,1.0196,严志勇,2022-04-07,None,None,None,None
015869,中银誉享一年定开债发起,债券型-长债,30.56,中银基金,1.0196,田原,2022-07-27,None,None,None,None
017024,天弘通享债券发起A,债券型-长债,11.25,天弘基金,1.0196,潘昱杉,2022-11-19,None,None,None,None
020387,兴业稳福120天持有期债券A,债券型-长债,5.26,兴业基金,1.0196,刘禹含,2024-01-30,None,None,None,None
005201,浦银安盛普瑞纯债C,债券型-长债,0.00,浦银安盛基金,1.0195,章潇枫,2019-03-08,0.58%,1.78,7.82%,13.37%
016314,同泰泰裕三个月定开债A,债券型-长债,0.02,同泰基金,1.0195,马毅,2024-01-23,None,None,None,None
016839,国新国证鑫颐中短债C,债券型-中短债,0.01,国新国证基金,1.0195,桑劲乔,2022-12-07,None,None,None,None
017606,华泰柏瑞轮动精选混合A,混合型-偏股,5.93,华泰柏瑞基金,1.0195,董辰,2023-05-05,None,None,None,None
019580,易方达安汇120天持有债券C,债券型-长债,0.12,易方达基金,1.0195,梁莹,2023-10-31,None,None,None,None
003561,诺德成长精选A,混合型-灵活,0.34,诺德基金,1.0194,郝旭东,2017-02-24,10.62%,-1.24,-30.99%,-2.43%
019755,东方红季鑫90天持有纯债A,债券型-长债,2.89,东方红资产管理,1.0195,徐觅,2023-12-08,None,None,None,None
005200,浦银安盛普瑞纯债A,债券型-长债,80.59,浦银安盛基金,1.0194,章潇枫,2019-03-08,0.58%,2.38,8.93%,15.44%
007172,易方达中债3-5年国开行债C,指数型-固收,0.75,易方达基金,1.0194,杨真,2020-11-28,1.18%,2.22,12.89%,None
008038,兴银先锋成长混合C,混合型-偏股,0.20,兴银基金管理,1.0194,孔晓语,2019-11-18,18.25%,-0.56,-24.17%,None
017912,华夏稳进增益一年持有混合A,混合型-偏债,1.22,华夏基金,1.0194,宋洋,2023-08-11,None,None,None,None
019187,中银证券和瑞一年持有混合A,混合型-偏债,0.78,中银证券,1.0194,王文华,2023-12-04,None,None,None,None
019947,信澳稳鑫债券A,债券型-长债,0.27,信达澳亚基金,1.0194,周帅,2023-12-26,None,None,None,None
002995,招商招裕纯债C,债券型-长债,0.00,招商基金,1.0193,康晶,2021-06-24,1.58%,1.66,12.89%,18.05%
003037,广发集瑞债券A,债券型-混合二级,2.80,广发基金,1.0193,郎振东,2021-04-09,2.16%,-0.70,-0.04%,6.60%
009639,华泰紫金周周购12个月滚动债发起C,债券型-混合二级,0.01,华泰证券(上海)资产管理,1.0193,陈利,2020-08-05,8.29%,-0.27,-2.19%,None
011243,万家惠裕回报6个月持有期混合A,混合型-偏债,0.63,万家基金,1.0193,陈佳昀,2021-06-28,None,None,None,None
